hmm_profile	orf_id	score	i_evalue	env_from	env_to
VFAM00005	Contig234_ORF_191_1964+	57.05	3.8907920395616426e-16	365	581
VFAM00007	Contig125_ORF_3532_4957-	273.83	4.792899397970728e-82	4	473
VFAM00007	Contig337_ORF_493_2113+	123.03	1.3299482658952958e-36	4	536
VFAM00007	Contig125_ORF_3034_3526-	118.68	2.7330581937944426e-35	1	161
VFAM00019	Contig254_ORF_3847_4819+	55.09	1.2706194056262956e-15	11	196
VFAM00019	Contig309_ORF_136_1165+	53.11	5.028456613953758e-15	7	341
VFAM00022	Contig252_ORF_84_5007+	142.13	2.9794074906527594e-42	621	1002
VFAM00034	Contig253_ORF_159_18090+	138.41	4.379506320227792e-41	4798	5290
VFAM00034	Contig253_ORF_159_18090+	115.97	2.5739374491059057e-34	5477	5972
VFAM00034	Contig148_ORF_931_2119-	185.36	3.013858598576944e-55	3	392
VFAM00034	Contig385_ORF_2494_11404-	184.49	5.505491027658227e-55	1695	2302
VFAM00034	Contig400_ORF_1273_4156+	176.51	1.4045988378659466e-52	305	961
VFAM00034	Contig401_ORF_1286_4169+	176.51	1.4045988378659466e-52	305	961
VFAM00034	Contig511_ORF_186_2946-	129.62	1.9587368649642496e-38	682	920
VFAM00034	Contig172_ORF_132_1131-	149.71	1.7126060063443228e-44	12	330
VFAM00034	Contig401_ORF_4916_5972+	140.1	1.3500812033467217e-41	1	336
VFAM00034	Contig317_ORF_168_3645-	138.0	5.797884623018031e-41	570	1159
VFAM00034	Contig301_ORF_1259_3131+	129.59	2.003332838418982e-38	12	622
VFAM00034	Contig445_ORF_78_2226+	69.53	2.636302431366008e-20	502	691
VFAM00034	Contig318_ORF_745_2890-	90.67	1.1002225706381925e-26	203	708
VFAM00034	Contig282_ORF_2063_3347+	87.33	1.1207221042693682e-25	6	417
VFAM00082	Contig329_ORF_418_1636-	144.84	7.793349896593582e-43	17	400
VFAM00082	Contig330_ORF_58_1180-	143.86	1.543708182504967e-42	9	371
VFAM00082	Contig246_ORF_150_1404+	139.5	3.2099525513271286e-41	29	415
VFAM00082	Contig30_ORF_3706_4909-	127.02	1.8982673880891437e-37	9	396
VFAM00082	Contig240_ORF_983_2276+	106.65	2.727049167915878e-31	17	426
VFAM00082	Contig398_ORF_168_1386+	70.83	1.8222320062274102e-20	49	405
VFAM00087	Contig125_ORF_3532_4957-	165.08	2.571445724200823e-49	22	474
VFAM00087	Contig125_ORF_3034_3526-	65.5	2.679330205247143e-19	1	150
VFAM00125	Contig385_ORF_2494_11404-	50.55	1.6585520101205087e-14	542	779
VFAM00173	Contig252_ORF_84_5007+	189.91	1.2647410060728857e-56	515	1614
VFAM00178	Contig193_ORF_38_1097+	79.23	2.638464808461349e-23	5	337
VFAM00188	Contig165_ORF_366_2118-	190.06	2.0501950241848053e-56	20	577
VFAM00211	Contig252_ORF_84_5007+	111.07	7.694984585642548e-33	677	975
VFAM00212	Contig418_ORF_900_2493+	219.58	1.8002418939449763e-65	16	529
VFAM00224	Contig100_ORF_682_1357-	123.03	2.3769841172852908e-36	51	224
VFAM00327	Contig252_ORF_84_5007+	545.23	7.41645035971209e-164	149	1637
VFAM00553	Contig302_ORF_2031_2796+	137.87	9.092713968944263e-41	25	196
VFAM00553	Contig302_ORF_515_1772+	137.16	1.4952428533816738e-40	183	418
VFAM00706	Contig500_ORF_146_890+	135.55	4.113572321828989e-40	7	248
VFAM00706	Contig65_ORF_324_936+	112.11	6.215188216099646e-33	7	202
VFAM00706	Contig11_ORF_296_872+	110.69	1.6962379449242778e-32	1	182
VFAM00706	Contig516_ORF_4907_5459-	82.55	7.04931247450185e-24	1	184
VFAM00709	Contig531_ORF_2820_3120-	119.83	3.1418545752117445e-35	1	78
