hmm_profile	orf_id	score	i_evalue	env_from	env_to
ENOG411EN1U	Contig193_ORF_38_1097+	141.5	7.815621247309475e-42	41	311
ENOG411EN2N	Contig302_ORF_2031_2796+	133.93	1.748076749583832e-39	26	194
ENOG411EN2N	Contig302_ORF_515_1772+	103.0	4.485693633757729e-30	213	418
ENOG411EN36	Contig317_ORF_168_3645-	57.54	3.3360689994334123e-16	940	1159
ENOG411EN36	Contig148_ORF_931_2119-	54.76	2.3419175267206134e-15	70	290
ENOG411EN36	Contig301_ORF_1259_3131+	51.1	3.073463302314396e-14	311	601
ENOG411EN41	Contig156_ORF_226_5242+	341.72	1.7526685688861856e-102	1	601
ENOG411EN4P	Contig165_ORF_366_2118-	122.9	3.242552596430299e-36	50	380
ENOG411EN6D	Contig234_ORF_191_1964+	51.93	1.1239214388631174e-14	365	496
ENOG411EN8D	Contig79_ORF_268_829-	64.97	1.2215426837512254e-18	1	34
ENOG411EN8D	Contig79_ORF_268_829-	161.22	1.1127147046062669e-48	35	110
ENOG411EN8D	Contig79_ORF_268_829-	161.22	1.1127147046062669e-48	111	186
ENOG411EN8D	Contig78_ORF_71_530-	161.89	6.855614058024627e-49	1	76
ENOG411EN8D	Contig78_ORF_71_530-	161.89	6.855614058024627e-49	77	152
ENOG411EN8D	Contig80_ORF_35_596-	161.22	1.1127147046062669e-48	32	107
ENOG411ENAB	Contig236_ORF_212_2195+	1052.48	1.1392635e-317	11	661
ENOG411ENAB	Contig237_ORF_766_2218+	709.54	7.198375492913404e-214	1	484
ENOG411ENAB	Contig53_ORF_93_2130+	654.95	2.4002781077424595e-197	53	662
ENOG411ENAB	Contig237_ORF_253_742+	288.43	2.0650370526421478e-86	4	163
ENOG411ENCI	Contig100_ORF_682_1357-	59.16	8.390285590151061e-17	77	214
ENOG411ENCM	Contig492_ORF_695_2849+	118.53	5.990544600254537e-35	63	557
ENOG411ENCM	Contig491_ORF_663_2838+	114.4	1.0664071066425983e-33	63	564
ENOG411ENCP	Contig100_ORF_682_1357-	63.13	6.658503085964706e-18	64	214
ENOG411ENEW	Contig482_ORF_1017_2253+	179.46	3.0243442280328344e-53	38	375
ENOG411ENGY	Contig385_ORF_2494_11404-	113.96	1.9378135067948294e-33	1901	2166
ENOG411ENGY	Contig253_ORF_159_18090+	59.92	5.5078372007034956e-17	4948	5213
ENOG411ENGY	Contig400_ORF_1273_4156+	106.29	4.175531604062977e-31	684	952
ENOG411ENGY	Contig401_ORF_1286_4169+	106.29	4.175531604062977e-31	684	952
ENOG411ENGY	Contig282_ORF_2063_3347+	107.09	2.383623113996693e-31	32	334
ENOG411ENGY	Contig148_ORF_931_2119-	99.17	6.171412771550229e-29	21	294
ENOG411ENGY	Contig172_ORF_132_1131-	89.17	6.826801905561301e-26	23	266
