hmm_profile	orf_id	score	i_evalue	env_from	env_to
FAM000650	Contig252_ORF_84_5007+	84.4	1.0917953095662846e-24	606	967
FAM002682	Contig320_ORF_229_1828-	54.08	1.7462047886762452e-15	122	320
FAM020704	Contig341_ORF_3193_5212-	287.79	2.6734990165730183e-86	17	670
FAM020704	Contig341_ORF_28_724-	67.13	1.599051535006006e-19	17	219
FAM021600	Contig450_ORF_32_2648+	1110.51	0.0	8	872
FAM021600	Contig420_ORF_68_1256-	312.96	9.525983586025126e-94	6	383
FAM005327	Contig252_ORF_84_5007+	68.68	9.506656594923918e-20	1188	1559
FAM001809	Contig236_ORF_212_2195+	1089.73	0.0	7	648
FAM001809	Contig53_ORF_93_2130+	788.35	1.6795378679807855e-237	47	679
FAM001809	Contig237_ORF_766_2218+	745.84	1.2028763767972847e-224	2	484
FAM001809	Contig237_ORF_253_742+	290.78	4.805954720847822e-87	1	163
FAM004599	Contig418_ORF_900_2493+	75.62	7.068974740422312e-22	298	508
FAM023044	Contig125_ORF_3532_4957-	182.45	1.875879784857946e-54	6	464
FAM023044	Contig125_ORF_3034_3526-	59.15	2.9875777437556076e-17	2	139
FAM011706	Contig193_ORF_38_1097+	77.59	2.416044668666421e-22	3	240
FAM004337	Contig500_ORF_146_890+	161.09	6.269689799997309e-48	8	248
FAM004337	Contig11_ORF_296_872+	118.37	7.702686728879293e-35	1	185
FAM004337	Contig65_ORF_324_936+	116.65	2.599824792435792e-34	9	199
FAM004337	Contig516_ORF_4907_5459-	104.49	1.3755002314536146e-30	3	184
FAM005647	Contig30_ORF_3706_4909-	602.42	6.475352999388497e-182	5	401
FAM005647	Contig246_ORF_150_1404+	595.87	6.31572759964492e-180	33	418
FAM005647	Contig329_ORF_418_1636-	590.32	3.057822675990622e-178	15	406
FAM005647	Contig330_ORF_58_1180-	567.58	2.475658431126071e-171	4	374
FAM005647	Contig240_ORF_983_2276+	417.83	7.398942759058978e-126	15	409
FAM005647	Contig398_ORF_168_1386+	213.94	6.149070525466096e-64	70	406
FAM023062	Contig125_ORF_3532_4957-	326.57	5.3192609239686895e-98	13	469
FAM023062	Contig125_ORF_3034_3526-	105.43	2.428436451250376e-31	1	152
FAM026732	Contig252_ORF_84_5007+	104.27	4.776223505941323e-31	628	1005
FAM026732	Contig252_ORF_84_5007+	316.17	6.463246726596189e-95	1117	1636
FAM016833	Contig66_ORF_7568_8639-	62.44	9.630176642250514e-18	56	271
FAM022463	Contig125_ORF_3532_4957-	166.42	1.057100690552245e-49	21	474
FAM022463	Contig125_ORF_3034_3526-	54.31	6.546851779307751e-16	1	138
FAM023459	Contig125_ORF_3532_4957-	65.31	4.36662972067365e-19	224	458
FAM004847	Contig317_ORF_168_3645-	126.04	2.5910455388745294e-37	900	1159
FAM004847	Contig301_ORF_1259_3131+	117.2	1.198933444276053e-34	307	622
FAM004847	Contig400_ORF_1273_4156+	111.78	5.194925676570036e-33	597	911
FAM004847	Contig401_ORF_1286_4169+	111.78	5.194925676570036e-33	597	911
FAM004847	Contig445_ORF_78_2226+	65.13	6.126848118805036e-19	544	644
FAM004847	Contig148_ORF_931_2119-	103.18	2.030128081845399e-30	31	298
FAM004847	Contig253_ORF_159_18090+	67.0	1.673266693970822e-19	4919	5167
